,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1
0,Jonaaa6 FH,,1.54  1.72  1.26,280  312  231,50  34  16,/  30  18  12  /,30  20  10,+20  +16  +4,84%  80%  90%,170  194  134,32%  35%  25%,6  2  4,2  2  0,+4  0  +4,2.0,1.0,Jonaaa6 FH,,1.76  2.07  1.60,246  360  190,16  8  8,/  8  3  5  /,13  7  6,+8  +5  +3,89%  100%  83%,134  188  107,36%  57%  17%,3  1  2,0  0  0,+3  +1  +2,Lear FH,,1.07  1.15  0.84,236  260  165,13  11  2,/  13  9  4  /,2  0  2,0  +2  -2,75%  67%  100%,149  170  84,48%  45%  67%,2  1  1,2  1  1,0  0  0,Jonaaa6 FH,,1.91  2.17  1.12,304  331  225,19  16  3,/  7  4  3  /,12  8  4,+12  +12  0,94%  92%  100%,200  222  133,29%  30%  25%,2  1  1,0  0  0,+2  +1  +1
1,Reduxx FH,,1.35  1.25  1.42,321  274  397,55  28  27,/  36  21  15  /,8  5  3,+19  +7  +12,80%  77%  85%,207  179  249,32%  28%  37%,15  9  6,7  6  1,+8  +3  +5,13.0,5.0,Reduxx FH,,1.69  1.42  1.82,382  269  439,23  5  18,/  11  3  8  /,2  1  1,+12  +2  +10,83%  100%  75%,241  187  268,37%  19%  48%,6  2  4,2  1  1,+4  +1  +3,Jonaaa6 FH,,0.95  0.91  1.05,290  268  359,15  10  5,/  15  11  4  /,5  5  0,0  -1  +1,69%  58%  100%,181  168  218,31%  27%  44%,1  0  1,2  2  0,-1  -2  +1,Reduxx FH,,1.82  1.82  1.81,410  428  357,23  18  5,/  9  6  3  /,3  2  1,+14  +12  +2,88%  83%  100%,258  273  214,33%  37%  23%,8  6  2,1  1  0,+7  +5  +2
2,Lear FH,,1.25  1.51  1.03,188  220  144,34  24  10,/  26  17  9  /,26  13  13,+8  +7  +1,84%  80%  90%,125  148  91,29%  30%  27%,2  1  1,3  1  2,-1  0  -1,3.0,13.0,Lear FH,,1.48  2.11  1.16,219  317  171,16  8  8,/  7  3  4  /,9  3  6,+9  +5  +4,89%  100%  83%,149  206  121,26%  30%  23%,0  0  0,1  0  1,-1  0  -1,jwordn FH,,0.64  0.73  0.37,159  187  77,8  7  1,/  15  11  4  /,4  3  1,-7  -4  -3,56%  67%  25%,112  133  47,46%  42%  100%,0  0  0,3  2  1,-3  -2  -1,jwordn FH,,1.42  1.38  1.52,174  156  231,12  8  4,/  5  4  1  /,8  8  0,+7  +4  +3,75%  75%  75%,116  115  121,37%  44%  22%,0  0  0,1  1  0,-1  -1  0
3,jwordn FH,,1.06  0.97  1.06,181  164  212,33  18  15,/  31  19  12  /,16  13  3,+2  -1  +3,68%  73%  60%,120  118  124,34%  43%  25%,2  1  1,5  4  1,-3  -3  0,13.0,3.0,Arkhram FH,,1.12  1.24  1.07,164  159  167,11  4  7,/  7  3  4  /,3  1  2,+4  +1  +3,94%  83%  100%,125  125  125,45%  60%  39%,3  0  3,0  0  0,+3  0  +3,Reduxx FH,,0.54  0.51  0.63,170  123  313,9  5  4,/  16  12  4  /,3  2  1,-7  -7  0,69%  58%  100%,117  81  224,19%  18%  21%,1  1  0,4  4  0,-3  -3  0,Arkhram FH,,1.32  1.01  2.26,200  121  440,13  6  7,/  6  5  1  /,2  0  2,+7  +1  +6,88%  83%  100%,121  76  257,25%  31%  21%,2  1  1,2  2  0,0  -1  +1
4,Arkhram FH,,0.95  0.83  1.41,165  120  234,31  14  17,/  29  20  9  /,7  2  5,+2  -6  +8,82%  73%  95%,110  81  154,34%  30%  36%,5  1  4,3  3  0,+2  -2  +4,,,jwordn FH,,1.12  0.79  1.29,211  134  250,13  3  10,/  11  4  7  /,4  2  2,+2  -1  +3,72%  83%  67%,131  92  150,25%  43%  22%,2  1  1,1  1  0,+1  0  +1,Arkhram FH,,0.42  0.26  0.90,132  100  229,7  4  3,/  16  12  4  /,2  1  1,-9  -8  -1,63%  58%  75%,82  63  141,29%  12%  55%,0  0  0,1  1  0,-1  -1  0,Lear FH,,1.22  1.26  1.09,109  132  41,5  5  0,/  6  5  1  /,15  10  5,-1  0  -1,88%  83%  100%,75  97  10,15%  16%  0%,0  0  0,0  0  0,0  0  0
5,Kaoticcc MFC,,1.08  1.31  1.01,233  283  200,44  23  21,/  36  15  21  /,6  2  4,+8  +8  0,60%  65%  57%,142  171  122,18%  26%  12%,5  1  4,5  5  0,0  -4  +4,,,Kaoticcc MFC,,0.81  0.81  0.82,213  240  159,15  12  3,/  15  10  5  /,1  1  0,0  +2  -2,56%  58%  50%,134  148  106,46%  43%  57%,1  1  0,3  3  0,-2  -2  0,Kaoticcc MFC,,1.76  2.38  1.55,351  548  286,23  9  14,/  8  2  6  /,2  0  2,+15  +7  +8,75%  75%  75%,189  266  164,9%  10%  8%,3  0  3,1  1  0,+2  -1  +3,mina MFC,,0.77  0.63  0.81,195  209  192,9  3  6,/  14  4  10  /,4  0  4,-5  -1  -4,56%  75%  50%,136  157  129,23%  57%  14%,2  0  2,1  0  1,+1  0  +1
6,mina MFC,,0.79  0.85  0.75,177  169  179,27  11  16,/  42  18  24  /,23  5  18,-15  -7  -8,62%  55%  67%,118  116  118,18%  27%  13%,3  0  3,6  3  3,-3  -3  0,,,lucas MFC,,0.55  0.42  0.81,143  102  225,9  4  5,/  15  10  5  /,4  4  0,-6  -6  0,61%  58%  67%,94  73  136,21%  27%  17%,1  0  1,2  2  0,-1  -2  +1,sacred MFC,,1.33  1.19  1.38,171  238  149,11  4  7,/  6  3  3  /,4  0  4,+5  +1  +4,88%  75%  92%,118  129  115,30%  29%  30%,2  1  1,1  0  1,+1  +1  0,Kaoticcc MFC,,0.67  0.73  0.65,136  145  133,6  2  4,/  13  3  10  /,3  1  2,-7  -1  -6,50%  75%  42%,104  148  89,13%  38%  4%,1  0  1,1  1  0,0  -1  +1
7,sacred MFC,,0.76  0.73  0.73,126  118  131,23  9  14,/  36  16  20  /,10  2  8,-13  -7  -6,56%  45%  63%,87  75  95,29%  30%  28%,3  2  1,4  2  2,-1  0  -1,,,Awkua MFC,,0.53  0.66  0.27,140  161  98,7  6  1,/  16  10  6  /,7  4  3,-9  -4  -5,67%  75%  50%,86  94  70,9%  12%  0%,1  0  1,1  0  1,0  0  0,mina MFC,,1.25  1.55  1.16,209  219  206,12  3  9,/  10  2  8  /,14  3  11,+2  +1  +1,81%  75%  83%,136  157  129,16%  17%  15%,1  0  1,0  0  0,+1  0  +1,sacred MFC,,0.47  0.42  0.48,95  80  100,5  1  4,/  15  4  11  /,5  1  4,-10  -3  -7,38%  25%  42%,62  54  64,21%  50%  18%,0  0  0,0  0  0,0  0  0
8,Awkua MFC,,0.66  0.45  0.65,171  148  184,26  10  16,/  45  18  27  /,17  4  13,-19  -8  -11,62%  70%  57%,103  82  117,17%  14%  18%,7  1  6,10  2  8,-3  -1  -2,,,sacred MFC,,0.48  0.56  0.32,112  91  154,7  4  3,/  15  9  6  /,1  1  0,-8  -5  -3,44%  42%  50%,82  65  117,35%  27%  50%,1  1  0,3  2  1,-2  -1  -1,Awkua MFC,,1.20  0.28  1.50,295  131  350,16  2  14,/  14  4  10  /,7  0  7,+2  -2  +4,88%  75%  92%,171  61  208,28%  40%  26%,5  1  4,2  1  1,+3  0  +3,lucas MFC,,0.42  0.03  0.57,182  97  211,10  1  9,/  15  4  11  /,1  1  0,-5  -3  -2,56%  50%  58%,114  66  130,23%  40%  21%,0  0  0,3  2  1,-3  -2  -1
9,lucas MFC,,0.55  0.21  0.74,182  108  229,32  7  25,/  44  18  26  /,9  7  2,-12  -11  -1,64%  60%  67%,116  75  144,22%  27%  21%,2  0  2,5  4  1,-3  -4  +1,,,mina MFC,,0.34  0.37  0.29,126  139  101,6  5  1,/  18  12  6  /,5  2  3,-12  -7  -5,50%  42%  67%,85  89  77,18%  26%  7%,0  0  0,5  3  2,-5  -3  -2,lucas MFC,,0.67  0.16  0.83,220  136  249,13  2  11,/  14  4  10  /,4  2  2,-1  -2  +1,75%  75%  75%,144  93  162,22%  20%  22%,1  0  1,0  0  0,+1  0  +1,Awkua MFC,,0.24  0.41  0.18,77  124  62,3  2  1,/  15  4  11  /,3  0  3,-12  -2  -10,31%  50%  25%,55  68  50,5%  0%  6%,1  0  1,7  1  6,-6  -1  -5
