,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1
0,NIZ INFN,,1.54  1.47  1.48,237  255  222,33  12  21,/  19  7  12  /,11  4  7,+14  +5  +9,86%  83%  88%,142  152  137,34%  25%  43%,8  3  5,2  0  2,+6  +3  +3,2.0,0.0,notxd INFN,,1.26  1.85  0.78,180  258  117,15  11  4,/  10  2  8  /,4  1  3,+5  +9  -4,82%  80%  83%,130  185  85,22%  29%  10%,1  0  1,0  0  0,+1  0  +1,NIZ INFN,,1.83  1.46  1.90,260  265  260,16  2  14,/  4  1  3  /,1  0  1,+12  +1  +11,100%  100%  100%,159  165  159,45%  50%  44%,4  1  3,0  0  0,+4  +1  +3
1,KhanBigD INFN,,1.38  1.35  1.36,237  146  269,29  6  23,/  19  4  15  /,16  8  8,+10  +2  +8,92%  100%  88%,139  76  171,23%  17%  25%,5  2  3,2  2  0,+3  0  +3,13.0,9.0,NIZ INFN,,1.25  1.48  1.07,214  253  183,17  10  7,/  15  6  9  /,10  4  6,+2  +4  -2,77%  80%  75%,130  149  115,30%  21%  42%,4  2  2,2  0  2,+2  +2  0,slash INFN,,1.65  1.71  1.64,366  380  365,18  3  15,/  9  1  8  /,5  0  5,+9  +2  +7,79%  100%  75%,234  170  245,24%  25%  24%,2  1  1,0  0  0,+2  +1  +1
2,slash INFN,,1.37  1.32  1.42,299  257  298,35  12  23,/  25  8  17  /,8  2  6,+10  +4  +6,72%  75%  71%,185  152  202,24%  26%  23%,6  3  3,3  1  2,+3  +2  +1,13.0,1.0,KhanBigD INFN,,1.23  1.31  1.17,198  162  229,16  6  10,/  13  4  9  /,10  5  5,+3  +2  +1,91%  100%  83%,114  83  141,22%  13%  30%,3  2  1,2  2  0,+1  0  +1,KhanBigD INFN,,1.53  1.38  1.55,275  69  310,13  0  13,/  6  0  6  /,6  3  3,+7  +7,93%  100%  92%,178  44  201,24%  100%  22%,2  0  2,0  0  0,+2  0  +2
3,pedio INFN,,1.25  2.18  0.99,209  297  171,27  14  13,/  20  5  15  /,17  8  9,+7  +9  -2,81%  92%  75%,145  206  115,26%  22%  32%,4  1  3,2  0  2,+2  +1  +1,,,pedio INFN,,1.15  1.47  0.89,225  271  187,17  10  7,/  15  5  10  /,7  4  3,+2  +5  -3,77%  90%  67%,159  204  122,25%  26%  22%,2  1  1,1  0  1,+1  +1  0,pedio INFN,,1.35  2.89  1.10,193  425  155,10  4  6,/  5  0  5  /,10  4  6,+5  +4  +1,86%  100%  83%,123  214  108,31%  8%  50%,2  0  2,1  0  1,+1  0  +1
4,notxd INFN,,1.16  1.30  0.94,171  237  142,24  12  12,/  16  3  13  /,4  1  3,+8  +9  -1,81%  83%  79%,120  168  96,18%  29%  10%,2  0  2,2  0  2,0  0  0,,,slash INFN,,1.09  0.94  1.21,231  232  230,17  9  8,/  16  7  9  /,3  2  1,+1  +2  -1,68%  70%  67%,154  149  159,24%  26%  22%,4  2  2,3  1  2,+1  +1  0,notxd INFN,,1.06  0.76  1.11,162  135  167,9  1  8,/  6  1  5  /,0  0  0,+3  0  +3,79%  100%  75%,105  83  108,12%  25%  10%,1  0  1,2  0  2,-1  0  -1
5,puffyalwaysbesad Flas,,0.85  0.87  0.78,187  174  207,21  14  7,/  30  19  11  /,14  11  3,-9  -5  -4,69%  67%  75%,119  104  150,22%  19%  26%,1  1  0,4  3  1,-3  -2  -1,,,noticeme Flas,,1.03  1.20  0.82,256  311  191,20  13  7,/  14  6  8  /,2  2  0,+6  +7  -1,73%  75%  70%,179  227  121,29%  26%  38%,1  0  1,2  1  1,-1  -1  0,puffyalwaysbesad Flas,,0.76  0.78  0.65,199  204  176,8  8  0,/  14  11  3  /,5  4  1,-6  -3  -3,71%  75%  50%,138  132  176,19%  20%  18%,1  1  0,2  2  0,-1  -1  0
6,Justเฟรน Flas,,0.68  0.83  0.61,136  157  89,17  14  3,/  29  18  11  /,12  8  4,-12  -4  -8,67%  71%  58%,96  112  63,28%  38%  7%,1  1  0,6  4  2,-5  -3  -2,,,puffyalwaysbesad Flas,,0.93  0.96  0.91,175  144  213,13  6  7,/  16  8  8  /,9  7  2,-3  -2  -1,68%  58%  80%,107  76  145,24%  17%  30%,0  0  0,2  1  1,-2  -1  -1,Justเฟรน Flas,,0.71  0.67  0.98,148  141  194,9  7  2,/  13  11  2  /,2  2  0,-4  -4  0,71%  67%  100%,99  101  85,30%  33%  20%,1  1  0,4  4  0,-3  -3  0
7,Olivia Flas,,0.64  0.89  0.14,198  237  126,25  21  4,/  32  20  12  /,5  4  1,-7  +1  -8,58%  63%  50%,117  136  77,22%  25%  13%,5  4  1,10  6  4,-5  -2  -3,,,Lilac Flas,,0.72  0.94  0.46,143  165  118,11  7  4,/  17  8  9  /,5  4  1,-6  -1  -5,77%  92%  60%,99  116  79,21%  22%  21%,3  2  1,2  1  1,+1  +1  0,Olivia Flas,,0.58  0.70  0.02,193  222  22,8  9  -1,/  13  11  2  /,3  3  0,-5  -2  -3,64%  67%  50%,121  138  22,17%  18%  0%,1  1  0,4  2  2,-3  -1  -2
8,noticeme Flas,,0.55  0.65  0.43,156  185  164,22  15  7,/  28  18  10  /,2  2  0,-6  -3  -3,50%  46%  58%,126  135  106,25%  22%  33%,1  0  1,3  2  1,-2  -2  0,,,Olivia Flas,,0.70  1.07  0.26,203  252  146,17  12  5,/  19  9  10  /,2  1  1,-2  +3  -5,55%  58%  50%,114  135  88,27%  35%  15%,4  3  1,6  4  2,-2  -1  -1,Lilac Flas,,0.24  0.23  0.32,60  45  152,3  2  1,/  13  11  2  /,3  3  0,-10  -9  -1,50%  50%  50%,39  31  88,33%  50%  20%,0  0  0,0  0  0,0  0  0
9,Lilac Flas,,0.48  0.58  0.39,102  105  124,14  9  5,/  30  19  11  /,8  7  1,-16  -10  -6,67%  71%  58%,76  74  81,24%  26%  21%,3  2  1,2  1  1,+1  +1  0,,,Justเฟรน Flas,,0.65  0.99  0.24,124  172  69,8  7  1,/  16  7  9  /,10  6  4,-8  0  -8,64%  75%  50%,94  123  58,26%  41%  0%,0  0  0,2  0  2,-2  0  -2,noticeme Flas,,0.08  0.10  0.03,55  59  30,2  2  0,/  14  12  2  /,0  0  0,-12  -10  -2,14%  17%,42  44  30,8%  9%  0%,0  0  0,1  1  0,-1  -1  0
