,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1,Map 5Unnamed: 0,Map 5Unnamed: 1,Map 5R,Map 5ACS,Map 5K,Map 5D,Map 5A,Map 5+/–,Map 5KAST,Map 5ADR,Map 5HS%,Map 5FK,Map 5FD,Map 5+/–.1
0,美談にしないで Xene,,1.06  0.92  1.17,256  270  242,34  14  20,/  30  15  15  /,3  2  1,+4  -1  +5,64%  56%  70%,156  171  145,24%  23%  24%,6  3  3,9  6  3,-3  -3  0,0.0,2.0,なんとかなれーッ Xene,,1.23  0.71  1.78,288  222  360,20  6  14,/  17  12  5  /,19  7  12,+3  -6  +9,83%  67%  100%,189  158  223,15%  17%  15%,3  1  2,3  1  2,0  0  0,美談にしないで Xene,,1.05  0.94  1.08,271  286  267,14  3  11,/  14  4  10  /,2  1  1,0  -1  +1,56%  75%  50%,182  213  172,17%  12%  20%,2  1  1,3  1  2,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,もぐもぐyummy Xene,,0.98  0.56  1.29,227  152  262,30  8  22,/  29  15  14  /,9  3  6,+1  -7  +8,67%  56%  74%,137  105  159,14%  19%  13%,1  0  1,3  1  2,-2  -1  -1,10.0,13.0,美談にしないで Xene,,1.07  0.90  1.26,240  264  216,20  11  9,/  16  11  5  /,1  1  0,+4  0  +4,70%  50%  91%,137  158  115,32%  30%  36%,4  2  2,6  5  1,-2  -3  +1,もぐもぐyummy Xene,,1.03  0.64  1.16,287  224  309,16  3  13,/  15  4  11  /,2  2  0,+1  -1  +2,75%  75%  75%,161  120  174,15%  25%  13%,0  0  0,3  1  2,-3  -1  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,なんとかなれーッ Xene,,0.80  0.46  1.11,183  195  206,24  8  16,/  31  16  15  /,25  7  18,-7  -8  +1,72%  63%  78%,131  131  132,15%  14%  15%,3  1  2,6  2  4,-3  -1  -2,3.0,13.0,もぐもぐyummy Xene,,0.94  0.49  1.42,167  128  210,14  5  9,/  14  11  3  /,7  1  6,0  -6  +6,61%  50%  73%,121  100  144,14%  16%  13%,1  0  1,0  0  0,+1  0  +1,furadede Xene,,0.70  0.63  0.73,154  126  165,7  1  6,/  16  4  12  /,13  4  9,-9  -3  -6,63%  75%  58%,96  89  98,7%  0%  9%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ichiban kawaii Xene,,0.73  0.26  1.08,174  103  230,23  6  17,/  31  15  16  /,3  1  2,-8  -9  +1,54%  38%  65%,137  80  176,28%  28%  28%,4  1  3,2  0  2,+2  +1  +1,,,ichiban kawaii Xene,,0.89  0.40  1.43,195  95  306,15  4  11,/  16  11  5  /,2  1  1,-1  -7  +6,61%  33%  91%,145  78  220,38%  33%  39%,3  1  2,0  0  0,+3  +1  +2,ichiban kawaii Xene,,0.58  0.12  0.73,153  130  161,8  2  6,/  15  4  11  /,1  0  1,-7  -2  -5,44%  50%  42%,124  87  137,18%  17%  18%,1  0  1,2  0  2,-1  0  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,furadede Xene,,0.67  0.47  0.85,116  67  139,14  3  11,/  30  14  16  /,20  5  15,-16  -11  -5,64%  50%  74%,70  44  88,10%  15%  8%,2  1  1,3  1  2,-1  0  -1,,,furadede Xene,,0.64  0.32  0.98,77  48  110,7  2  5,/  14  10  4  /,7  1  6,-7  -8  +1,65%  42%  91%,51  29  76,15%  43%  7%,1  1  0,2  1  1,-1  0  -1,なんとかなれーッ Xene,,0.38  0.20  0.44,77  114  66,4  2  2,/  14  4  10  /,6  0  6,-10  -2  -8,56%  50%  58%,48  49  48,11%  0%  18%,0  0  0,3  1  2,-3  -1  -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Neu EB.GC,,1.46  1.05  2.09,227  201  224,29  15  14,/  19  15  4  /,32  15  17,+10  0  +10,77%  65%  94%,133  134  133,13%  7%  20%,0  0  0,3  3  0,-3  -3  0,,,Sakuramelonade EB.GC,,1.34  0.95  1.70,256  179  327,22  7  15,/  15  9  6  /,6  1  5,+7  -2  +9,70%  45%  92%,192  125  254,25%  17%  30%,2  1  1,2  1  1,0  0  0,Neu EB.GC,,1.96  1.71  2.71,322  307  368,19  13  6,/  6  5  1  /,18  13  5,+13  +8  +5,94%  92%  100%,205  188  256,17%  9%  33%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NekoP4nch EB.GC,,1.23  1.06  1.49,248  239  222,34  20  14,/  25  17  8  /,4  3  1,+9  +3  +6,72%  70%  75%,136  148  118,18%  18%  17%,11  6  5,5  2  3,+6  +4  +2,,,Lucidmind EB.GC,,1.18  0.62  1.70,218  119  310,15  3  12,/  15  10  5  /,6  2  4,0  -7  +7,74%  55%  92%,156  90  216,20%  10%  28%,2  0  2,2  0  2,0  0  0,NekoP4nch EB.GC,,1.49  1.38  1.79,340  338  347,20  14  6,/  10  8  2  /,3  3  0,+10  +6  +4,81%  83%  75%,205  217  169,15%  15%  15%,5  4  1,1  0  1,+4  +4  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lucidmind EB.GC,,1.10  0.92  1.07,193  165  246,24  12  12,/  26  18  8  /,14  7  7,-2  -6  +4,77%  65%  94%,136  111  172,21%  18%  25%,4  2  2,2  0  2,+2  +2  0,,,lillz EB.GC,,1.04  0.70  1.34,201  142  256,16  4  12,/  18  11  7  /,14  6  8,-2  -7  +5,78%  55%  100%,128  102  152,20%  22%  18%,1  1  0,1  1  0,0  0  0,lillz EB.GC,,1.16  0.88  2.02,233  203  324,15  10  5,/  10  9  1  /,8  4  4,+5  +1  +4,69%  67%  75%,139  124  184,13%  10%  18%,2  1  1,0  0  0,+2  +1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lillz EB.GC,,1.10  0.79  1.68,217  174  273,31  14  17,/  28  20  8  /,22  10  12,+3  -6  +9,74%  61%  94%,132  114  160,17%  15%  18%,3  2  1,1  1  0,+2  +1  +1,,,NekoP4nch EB.GC,,0.97  0.73  1.18,156  130  180,14  6  8,/  15  9  6  /,1  0  1,-1  -3  +2,65%  55%  75%,88  73  102,25%  29%  20%,6  2  4,4  2  2,+2  0  +2,Lucidmind EB.GC,,1.02  1.22  0.44,167  206  53,9  9  0,/  11  8  3  /,8  5  3,-2  +1  -3,81%  75%  100%,108  131  41,22%  26%  0%,2  2  0,0  0  0,+2  +2  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sakuramelonade EB.GC,,1.09  0.91  1.20,216  174  293,33  15  18,/  27  17  10  /,12  7  5,+6  -2  +8,74%  61%  94%,157  110  225,28%  24%  31%,5  3  2,5  4  1,0  -1  +1,,,Neu EB.GC,,0.96  0.40  1.47,132  85  176,10  2  8,/  13  10  3  /,14  2  12,-3  -8  +5,65%  36%  92%,84  75  92,10%  5%  12%,0  0  0,3  3  0,-3  -3  0,Sakuramelonade EB.GC,,0.83  0.88  0.70,175  170  191,11  8  3,/  12  8  4  /,6  6  0,-1  0  -1,81%  75%  100%,106  96  138,36%  38%  33%,3  2  1,3  3  0,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
