,Unnamed: 0,Unnamed: 1,R,ACS,K,D,A,+/–,KAST,ADR,HS%,FK,FD,+/–.1,scores_team_1,scores_team_2,Map 1Unnamed: 0,Map 1Unnamed: 1,Map 1R,Map 1ACS,Map 1K,Map 1D,Map 1A,Map 1+/–,Map 1KAST,Map 1ADR,Map 1HS%,Map 1FK,Map 1FD,Map 1+/–.1,Map 2Unnamed: 0,Map 2Unnamed: 1,Map 2R,Map 2ACS,Map 2K,Map 2D,Map 2A,Map 2+/–,Map 2KAST,Map 2ADR,Map 2HS%,Map 2FK,Map 2FD,Map 2+/–.1,Map 3Unnamed: 0,Map 3Unnamed: 1,Map 3R,Map 3ACS,Map 3K,Map 3D,Map 3A,Map 3+/–,Map 3KAST,Map 3ADR,Map 3HS%,Map 3FK,Map 3FD,Map 3+/–.1,Map 4Unnamed: 0,Map 4Unnamed: 1,Map 4R,Map 4ACS,Map 4K,Map 4D,Map 4A,Map 4+/–,Map 4KAST,Map 4ADR,Map 4HS%,Map 4FK,Map 4FD,Map 4+/–.1
0,Moco ZETA.GC,,1.77  1.63  1.94,274  331  209,38  23  15,/  11  9  2  /,20  7  13,+27  +14  +13,86%  83%  88%,162  202  119,33%  38%  25%,5  5  0,0  0  0,+5  +5  0,2.0,0.0,Moco ZETA.GC,,2.04  1.93  2.30,345  387  245,24  18  6,/  5  5  0  /,10  4  6,+19  +13  +6,94%  92%  100%,203  233  131,35%  41%  21%,5  5  0,0  0  0,+5  +5  0,Moco ZETA.GC,,1.50  1.33  1.58,203  221  194,14  5  9,/  6  4  2  /,10  3  7,+8  +1  +7,78%  67%  83%,123  142  114,29%  31%  27%,0  0  0,0  0  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,suzu ZETA.GC,,1.42  1.15  1.77,308  290  325,37  18  19,/  24  14  10  /,11  4  7,+13  +4  +9,89%  83%  94%,206  208  205,17%  17%  18%,8  2  6,5  2  3,+3  0  +3,13.0,4.0,suzu ZETA.GC,,1.54  1.32  2.07,358  333  418,22  14  8,/  12  9  3  /,5  2  3,+10  +5  +5,88%  83%  100%,232  230  237,16%  20%  10%,4  2  2,0  0  0,+4  +2  +2,romia ZETA.GC,,1.36  0.07  2.00,260  28  377,16  0  16,/  11  6  5  /,5  1  4,+5  -6  +11,78%  33%  100%,185  28  264,35%  0%  40%,2  0  2,0  0  0,+2  0  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,romia ZETA.GC,,1.21  0.47  1.78,210  103  327,26  6  20,/  22  15  7  /,14  6  8,+4  -9  +13,83%  67%  100%,141  71  214,33%  24%  36%,3  0  3,2  2  0,+1  -2  +3,13.0,5.0,romia ZETA.GC,,1.07  0.87  1.55,160  141  207,10  6  4,/  11  9  2  /,9  5  4,-1  -3  +2,88%  83%  100%,94  93  95,29%  33%  23%,1  0  1,2  2  0,-1  -2  +1,KOHAL ZETA.GC,,1.32  1.23  1.37,244  333  200,16  8  8,/  10  5  5  /,9  2  7,+6  +3  +3,89%  83%  92%,144  202  115,30%  53%  16%,1  0  1,1  0  1,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KOHAL ZETA.GC,,1.15  1.01  1.40,178  154  208,23  12  11,/  19  11  8  /,17  4  13,+4  +1  +3,83%  72%  94%,109  97  122,25%  38%  16%,2  0  2,2  1  1,0  -1  +1,,,KOHAL ZETA.GC,,0.98  0.80  1.43,112  64  228,7  4  3,/  9  6  3  /,8  2  6,-2  -2  0,76%  67%  100%,72  44  140,17%  18%  15%,1  0  1,1  1  0,0  -1  +1,suzu ZETA.GC,,1.30  0.98  1.46,258  203  287,15  4  11,/  12  5  7  /,6  2  4,+3  -1  +4,89%  83%  92%,182  164  192,20%  10%  26%,4  0  4,5  2  3,-1  -2  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aco ZETA.GC,,0.92  0.72  1.04,210  210  211,26  12  14,/  23  13  10  /,13  7  6,+3  -1  +4,77%  72%  82%,135  138  132,17%  20%  15%,2  1  1,6  5  1,-4  -4  0,,,aco ZETA.GC,,0.83  0.80  0.89,215  217  212,12  8  4,/  11  8  3  /,7  5  2,+1  0  +1,82%  75%  100%,137  143  124,24%  21%  33%,1  0  1,2  2  0,-1  -2  +1,aco ZETA.GC,,1.00  0.64  1.19,205  195  210,14  4  10,/  12  5  7  /,6  2  4,+2  -1  +3,72%  67%  75%,133  129  135,12%  15%  11%,1  1  0,4  3  1,-3  -2  -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Len FL.GC,,0.97  0.70  1.06,213  218  209,27  12  15,/  30  16  14  /,11  3  8,-3  -4  +1,71%  59%  83%,121  135  107,23%  28%  19%,3  1  2,2  2  0,+1  -1  +2,,,Len FL.GC,,1.10  0.56  1.33,225  189  241,14  3  11,/  15  5  10  /,9  2  7,-1  -2  +1,71%  60%  75%,121  104  129,22%  38%  18%,2  0  2,1  1  0,+1  -1  +2,Len FL.GC,,0.83  0.85  0.78,201  230  145,13  9  4,/  15  11  4  /,2  1  1,-2  -2  0,72%  58%  100%,120  148  64,25%  26%  22%,1  1  0,1  1  0,0  0  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,YamzzI FL.GC,,0.77  0.29  1.15,182  101  259,23  6  17,/  29  15  14  /,7  0  7,-6  -9  +3,54%  29%  78%,112  64  158,37%  19%  47%,4  1  3,5  3  2,-1  -2  +1,,,YamzzI FL.GC,,0.84  0.12  1.14,178  52  231,11  1  10,/  14  5  9  /,6  0  6,-3  -4  +1,59%  20%  75%,104  32  134,55%  100%  53%,1  0  1,2  1  1,-1  -1  0,miNt FL.GC,,0.74  0.32  1.59,179  119  300,12  5  7,/  14  11  3  /,2  0  2,-2  -6  +4,61%  42%  100%,121  70  224,43%  43%  44%,3  2  1,3  3  0,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,miNt FL.GC,,0.71  0.26  1.24,176  114  236,22  7  15,/  29  16  13  /,4  1  3,-7  -9  +2,60%  41%  78%,120  77  160,29%  40%  24%,5  2  3,8  5  3,-3  -3  0,,,uKa FL.GC,,0.71  0.77  0.68,168  208  152,10  4  6,/  14  5  9  /,7  2  5,-4  -1  -3,59%  80%  50%,93  127  79,12%  17%  9%,0  0  0,2  0  2,-2  0  -2,YamzzI FL.GC,,0.70  0.47  1.15,185  121  315,12  5  7,/  15  10  5  /,1  0  1,-3  -5  +2,50%  33%  83%,120  77  205,27%  15%  41%,3  1  2,3  2  1,0  -1  +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,uKa FL.GC,,0.69  0.65  0.83,142  136  147,15  7  8,/  28  16  12  /,16  7  9,-13  -9  -4,63%  71%  56%,89  90  88,10%  9%  11%,0  0  0,3  1  2,-3  -1  -2,,,miNt FL.GC,,0.69  0.20  0.89,173  101  204,10  2  8,/  15  5  10  /,2  1  1,-5  -3  -2,59%  40%  67%,118  95  128,17%  33%  14%,2  0  2,5  2  3,-3  -2  -1,uKa FL.GC,,0.68  0.52  0.98,116  105  137,5  3  2,/  14  11  3  /,9  5  4,-9  -8  -1,67%  67%  67%,85  74  106,8%  5%  13%,0  0  0,1  1  0,-1  -1  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Curumi FL.GC,,0.50  0.44  0.71,115  100  131,12  5  7,/  34  17  17  /,12  6  6,-22  -12  -10,54%  53%  56%,85  69  100,23%  29%  20%,3  1  2,2  1  1,+1  0  +1,,,Curumi FL.GC,,0.38  0.47  0.35,87  63  98,3  1  2,/  17  5  12  /,7  2  5,-14  -4  -10,47%  60%  42%,72  61  76,15%  50%  11%,0  0  0,2  1  1,-2  -1  -1,Curumi FL.GC,,0.62  0.40  1.07,142  115  198,9  4  5,/  17  12  5  /,5  4  1,-8  -8  0,61%  50%  83%,98  72  148,29%  25%  33%,3  1  2,0  0  0,+3  +1  +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
